;Name;Gender;Party;Party ideology;Party role;Programme;Date;Week;Time face recognised (s);Time voice recognised (s);Total time recognised (s);Type
0;Veldhoven-van der Meer, Stientje van;V;D66;centrism;government;1 op 1;2021-02-03;woensdag 03 februari t/m dinsdag 9 februari;0.0;55.0;55.0;audio
1;Zanen, Jan van;M;VVD;centre-right;government;1 op 1;2021-02-10;woensdag 10 februari t/m dinsdag 16 februari;0.0;911.0;911.0;audio
2;Dijkhoff, Klaas;M;VVD;centre-right;government;1 op 1;2021-02-11;woensdag 10 februari t/m dinsdag 16 februari;0.0;940.04;940.04;audio
3;Jonge, Hugo de;M;CDA;centre-right;government;1 op 1;2021-02-12;woensdag 10 februari t/m dinsdag 16 februari;0.0;60.0;60.0;audio
4;Blokhuis, Paul;M;CU;centrism;government;1 op 1;2021-02-16;woensdag 10 februari t/m dinsdag 16 februari;0.0;780.56;780.56;audio
5;Staaij, Kees van der;M;SGP;right-wing;other;1 op 1;2021-02-16;woensdag 10 februari t/m dinsdag 16 februari;0.0;15.0;15.0;audio
6;Krol, Henk;M;Krol;centrism;other;1 op 1;2021-02-26;woensdag 24 februari t/m dinsdag 02 maart;0.0;705.0;705.0;audio
7;Eerdmans, Joost;M;JA21;right-wing (populist);populist opposition;1 op 1;2021-03-01;woensdag 24 februari t/m dinsdag 02 maart;0.0;843.52;843.52;audio
8;Haan, Liane den;V;50PLUS;centrism;other;1 op 1;2021-03-03;woensdag 03 t/m dinsdag 9 maart;0.0;764.52;764.52;audio
9;Ouwehand, Esther;V;PvdD;left-wing;leftwing opposition;1 op 1;2021-03-04;woensdag 03 t/m dinsdag 9 maart;0.0;869.52;869.52;audio
10;Staaij, Kees van der;M;SGP;right-wing;other;1 op 1;2021-03-05;woensdag 03 t/m dinsdag 9 maart;0.0;833.0;833.0;audio
11;Segers, Gert-Jan;M;CU;centrism;government;1 op 1;2021-03-08;woensdag 03 t/m dinsdag 9 maart;0.0;973.56;973.56;audio
12;Jonge, Hugo de;M;CDA;centre-right;government;1 op 1;2021-03-08;woensdag 03 t/m dinsdag 9 maart;0.0;50.0;50.0;audio
13;Klaver, Jesse;M;GL;centre-left;leftwing opposition;1 op 1;2021-03-10;woensdag 10 t/m dinsdag 16 maart;0.0;822.52;822.52;audio
14;Ploumen, Lilianne;V;PvdA;centre-left;leftwing opposition;1 op 1;2021-03-11;woensdag 10 t/m dinsdag 16 maart;0.0;865.56;865.56;audio
15;Marijnissen, Lilian;V;SP;left-wing;leftwing opposition;1 op 1;2021-03-15;woensdag 10 t/m dinsdag 16 maart;0.0;905.52;905.52;audio
16;Jonge, Hugo de;M;CDA;centre-right;government;1 op 1;2021-03-15;woensdag 10 t/m dinsdag 16 maart;0.0;30.0;30.0;audio
17;Ouwehand, Esther;V;PvdD;left-wing;leftwing opposition;Buitenhof;2021-02-07;woensdag 03 februari t/m dinsdag 9 februari;564.1999999999998;527.52;1091.7199999999998;video
18;Marijnissen, Lilian;V;SP;left-wing;leftwing opposition;Buitenhof;2021-02-14;woensdag 10 februari t/m dinsdag 16 februari;642.72;631.0;1273.72;video
19;Klaver, Jesse;M;GL;centre-left;leftwing opposition;Buitenhof;2021-02-14;woensdag 10 februari t/m dinsdag 16 februari;36.4;0.0;36.4;video
20;Kaag, Sigrid;V;D66;centrism;government;Buitenhof;2021-02-14;woensdag 10 februari t/m dinsdag 16 februari;24.96;0.0;24.96;video
21;Hoekstra, Wopke;M;CDA;centre-right;government;Buitenhof;2021-02-14;woensdag 10 februari t/m dinsdag 16 februari;5.72;0.0;5.72;video
22;Ploumen, Lilianne;V;PvdA;centre-left;leftwing opposition;Buitenhof;2021-02-21;woensdag 17 februari t/m dinsdag 23 februari;605.8;546.0;1151.8;video
